prescriber_id,state,specialty,brand_name,generic_name,total_claims,total_cost,total_patients,total_days_supply,is_fraud,fraud_type,cost_per_patient,cost_per_claim,days_per_claim,patients_per_claim,anomaly_score,predicted_fraud,query,regulation_text,regulation_source,faiss_distance,reg_confidence,groq_called,explanation
1801458609,SC,Internal Medicine,Spironolactone,Spironolactone,46,2134002.8191582,14.0,2880,1,cost_fraud,152428.7727970143,46391.36563387392,62.60869565217392,0.3043478260869565,-0.1729543025233858,1,abnormal reimbursement cost fraud pharmaceutical Spironolactone,"FOOD AND DRUG ADMINISTRATION COMPLIANCE PROGRAM GUIDANCE MANUAL PROGRAM 7363.001 DATE OF ISSUANCE May 2007 COVER - PAGE 1 of 1 FORM FDA 2438g (electronic-09/2003) CHAPTER 63 - HEALTH FRAUD: HUMAN DRUGS SUBJECT: Fraudulent Drugs IMPLEMENTATION DATE June 1, 2007 COMPLETION DATE June 1, 2012 DATA REPORTING PRODUCT CODES PRODUCT/ASSIGNMENT CODES Use appropriate product coding for product/operation 630",FDA Compliance Program on Drug Fraud,1.0659,BLOCKED,False,"⚠️ ANOMALY MATHEMATICALLY DETECTED — NO REGULATORY MATCH FOUND — MANUAL REVIEW REQUIRED. The anomaly detection model flagged this prescriber, but no sufficiently relevant regulatory reference was found in the knowledge base (FAISS distance > threshold). A compliance officer must review this case independently without AI guidance."
1720445380,OR,Family Practice,Atorvastatin Calcium,Atorvastatin Calcium,351,7132.88,106.0,26997,0,legitimate,67.29132075471698,20.32159544159544,76.91452991452991,0.301994301994302,-0.0031219974825441,1,suspicious prescription pattern Atorvastatin Calcium,"potential, emerging, and active investigations. Health fraud products that pose a direct health hazard to the user are the agency’s highest health fraud enforcement priority. For the purposes of this compliance program, a product presents a direct health hazard if the drug is likely to cause death, injury, or other serious adverse effect when used as labeled or in a customary manner. [See Complian",FDA Compliance Program on Drug Fraud,1.3143,BLOCKED,False,"⚠️ ANOMALY MATHEMATICALLY DETECTED — NO REGULATORY MATCH FOUND — MANUAL REVIEW REQUIRED. The anomaly detection model flagged this prescriber, but no sufficiently relevant regulatory reference was found in the knowledge base (FAISS distance > threshold). A compliance officer must review this case independently without AI guidance."
1609155969,GA,Advanced Heart Failure and Transplant Cardiology,Carvedilol,Carvedilol,12,4688870.892860001,144.0,25102,1,cost_fraud,32561.60342263889,390739.2410716668,2091.833333333333,12.0,-0.3758243804001582,1,abnormal reimbursement cost fraud pharmaceutical Carvedilol,"potential, emerging, and active investigations. Health fraud products that pose a direct health hazard to the user are the agency’s highest health fraud enforcement priority. For the purposes of this compliance program, a product presents a direct health hazard if the drug is likely to cause death, injury, or other serious adverse effect when used as labeled or in a customary manner. [See Complian",FDA Compliance Program on Drug Fraud,0.9075,OK,True,"Compliance Report:

1. This case is suspicious due to an unusually high total cost of $4,688,870.89 for 144 patients prescribed Carvedilol by a single specialty prescriber.
2. The specific fraud pattern detected is cost_fraud, indicating potential overcharging or excessive prescribing.
3. The regulatory violation is related to potential health fraud, posing a direct health hazard to users if the drug is misused or overprescribed.
4. Recommended action: Investigate the prescriber's practices and claims to determine if there is evidence of overcharging or unnecessary prescribing, and consider reporting to the FDA if a direct health hazard is suspected."
1669502357,AZ,Nurse Practitioner,Cephalexin,Cephalexin,43,3614447.550638324,21.0,138,1,cost_fraud,172116.55003039638,84056.91978228661,3.2093023255813957,0.4883720930232558,-0.221915738977351,1,abnormal reimbursement cost fraud pharmaceutical Cephalexin,"FOOD AND DRUG ADMINISTRATION COMPLIANCE PROGRAM GUIDANCE MANUAL PROGRAM 7363.001 DATE OF ISSUANCE May 2007 COVER - PAGE 1 of 1 FORM FDA 2438g (electronic-09/2003) CHAPTER 63 - HEALTH FRAUD: HUMAN DRUGS SUBJECT: Fraudulent Drugs IMPLEMENTATION DATE June 1, 2007 COMPLETION DATE June 1, 2012 DATA REPORTING PRODUCT CODES PRODUCT/ASSIGNMENT CODES Use appropriate product coding for product/operation 630",FDA Compliance Program on Drug Fraud,1.0407,BLOCKED,False,"⚠️ ANOMALY MATHEMATICALLY DETECTED — NO REGULATORY MATCH FOUND — MANUAL REVIEW REQUIRED. The anomaly detection model flagged this prescriber, but no sufficiently relevant regulatory reference was found in the knowledge base (FAISS distance > threshold). A compliance officer must review this case independently without AI guidance."
1336595404,FL,Family Practice,Trulicity,Dulaglutide,65,73514.16,11.0,2100,0,legitimate,6683.105454545454,1130.987076923077,32.30769230769231,0.1692307692307692,-0.015053512976354,1,suspicious prescription pattern Dulaglutide,"public consultation (not to be quoted as final) Page 62/225 )validation). Efforts should be made to follow-up the case in order to collect the missing information regarding the suspected medicinal product (see VI.B.3. for follow-up guidance). a.d. Reporting Suspicion of drug interactions As regardsFor the reportsing of drug interactions, which concerns drug/drug (including biological products), dr",EMA Guideline on Pharmacovigilance,1.263,BLOCKED,False,"⚠️ ANOMALY MATHEMATICALLY DETECTED — NO REGULATORY MATCH FOUND — MANUAL REVIEW REQUIRED. The anomaly detection model flagged this prescriber, but no sufficiently relevant regulatory reference was found in the knowledge base (FAISS distance > threshold). A compliance officer must review this case independently without AI guidance."
1396816922,IN,Family Practice,Nitroglycerin,Nitroglycerin,5695,685.82,4647.0,753,1,volume_fraud,0.1475833871314827,0.1204249341527655,0.1322212467076382,0.8159789288849868,-0.2061492562316511,1,abnormal high prescription volume reporting requirements Nitroglycerin,"of well-controlled studies showing this to be true) that treating minor rhythm abnormalities (frequent ventricular premature beats) with anti-arrhythmics after an acute myocardial infarction would improve survival. To test this belief, the National Institutes of Health conducted the CAST study which demonstrated that, although the drugs did indeed treat minor rhythm abnormalities, the patients who",FDA Guidance on Off-Label Use,1.1657,BLOCKED,False,"⚠️ ANOMALY MATHEMATICALLY DETECTED — NO REGULATORY MATCH FOUND — MANUAL REVIEW REQUIRED. The anomaly detection model flagged this prescriber, but no sufficiently relevant regulatory reference was found in the knowledge base (FAISS distance > threshold). A compliance officer must review this case independently without AI guidance."
1073566675,MA,Cardiology,Carvedilol,Carvedilol,11032,4448.33,4476.0,21755,1,volume_fraud,0.9938181411974978,0.4032206308919507,1.9719905728788976,0.4057287889775199,-0.2383310337485024,1,abnormal high prescription volume reporting requirements Carvedilol,"to HCPs engaged in making clinical practice decisions for 328 the care of an individual patient. 329 330 For human and animal drugs, randomized, double-blind, concurrently controlled superiority 331 trials are usually regarded as the most rigorous design and informative to clinical practice, and 332 therefore the most likely to provide scientifically sound and clinically relevant information; 333 ",FDA Guidance on Off-Label Use,1.115,BLOCKED,False,"⚠️ ANOMALY MATHEMATICALLY DETECTED — NO REGULATORY MATCH FOUND — MANUAL REVIEW REQUIRED. The anomaly detection model flagged this prescriber, but no sufficiently relevant regulatory reference was found in the knowledge base (FAISS distance > threshold). A compliance officer must review this case independently without AI guidance."
1912945841,SC,Family Practice,Amlodipine Besylate,Amlodipine Besylate,366,2507.59,112.0,29782,0,legitimate,22.38919642857143,6.851338797814208,81.37158469945355,0.3060109289617486,-0.0092566171227945,1,suspicious prescription pattern Amlodipine Besylate,"treatments. Judgment and Decision Making, 8(1), 29-33. 44 See e.g., Chaiken, S., Liberman, A., & Eagly, A.E. (1980). Heuristic and systematic information processing within and beyond the persuasion context. In Unintended Thought (ed. J.E. Uleman). New York: Guilford Press, 212-252; DeJong, C., Aguilar, T., Tseng, C-W., Lin, GA., Boscardin, WJ., Dudley, RA. (2016). Pharmaceutical industry – sponsor",FDA Guidance on Off-Label Use,1.3615,BLOCKED,False,"⚠️ ANOMALY MATHEMATICALLY DETECTED — NO REGULATORY MATCH FOUND — MANUAL REVIEW REQUIRED. The anomaly detection model flagged this prescriber, but no sufficiently relevant regulatory reference was found in the knowledge base (FAISS distance > threshold). A compliance officer must review this case independently without AI guidance."
1871581322,MI,Internal Medicine,Rosuvastatin Calcium,Rosuvastatin Calcium,606,18783.09,195.0,51330,0,legitimate,96.32353846153846,30.99519801980198,84.70297029702971,0.3217821782178218,-0.1263508382199493,1,suspicious prescription pattern Rosuvastatin Calcium,"For off-label, misuse, abuse and medication error, the definitions provided in VI.A.1.2. should be followed. Guideline on good pharmacovigilance practices (GVP) – Module VI (Rev 2) EMA/873138/2011 Rev 2 Track-change version following public consultation (not to be quoted as final) Page 65/225 Reference E2B(R2)/(R3) requirements Values dDefinitions for data element G.k.10.r ‘Additional Information ",EMA Guideline on Pharmacovigilance,1.3113,BLOCKED,False,"⚠️ ANOMALY MATHEMATICALLY DETECTED — NO REGULATORY MATCH FOUND — MANUAL REVIEW REQUIRED. The anomaly detection model flagged this prescriber, but no sufficiently relevant regulatory reference was found in the knowledge base (FAISS distance > threshold). A compliance officer must review this case independently without AI guidance."
1457855546,MI,Internal Medicine,Tramadol Hcl,Tramadol Hcl,21,1683381.9316235865,21.0,1894,1,cost_fraud,80161.04436302793,80161.04436302793,90.1904761904762,1.0,-0.1820805560383331,1,abnormal reimbursement cost fraud pharmaceutical Tramadol Hcl,"potential, emerging, and active investigations. Health fraud products that pose a direct health hazard to the user are the agency’s highest health fraud enforcement priority. For the purposes of this compliance program, a product presents a direct health hazard if the drug is likely to cause death, injury, or other serious adverse effect when used as labeled or in a customary manner. [See Complian",FDA Compliance Program on Drug Fraud,1.0471,BLOCKED,False,"⚠️ ANOMALY MATHEMATICALLY DETECTED — NO REGULATORY MATCH FOUND — MANUAL REVIEW REQUIRED. The anomaly detection model flagged this prescriber, but no sufficiently relevant regulatory reference was found in the knowledge base (FAISS distance > threshold). A compliance officer must review this case independently without AI guidance."
1114325222,WA,Physician Assistant,Pradaxa,Dabigatran Etexilate Mesylate,8300,5180.34,3043.0,1500,1,volume_fraud,1.7023792310220178,0.6241373493975904,0.180722891566265,0.3666265060240964,-0.1517712959563867,1,abnormal high prescription volume reporting requirements Dabigatran Etexilate Mesylate,"require their systematic collection, healthcare professionals and consumers should be informed in the protocol (or other study documents) of the possibility to report adverse reactions (for which they suspect a causal role of a medicine) to the marketing authorisation holder of the suspected medicinal product (studied or not) or to the concerned competent authoritiesauthority via the national spon",EMA Guideline on Pharmacovigilance,1.0569,BLOCKED,False,"⚠️ ANOMALY MATHEMATICALLY DETECTED — NO REGULATORY MATCH FOUND — MANUAL REVIEW REQUIRED. The anomaly detection model flagged this prescriber, but no sufficiently relevant regulatory reference was found in the knowledge base (FAISS distance > threshold). A compliance officer must review this case independently without AI guidance."
1235505264,NY,Physician Assistant,Jardiance,Empagliflozin,631,94715.86,26.0,4930,1,off_label,3642.917692307693,150.10437400950872,7.812995245641838,0.0412044374009508,-0.0335548915177195,1,off-label prescription Empagliflozin Physician Assistant reporting requirements,"group of patients;  a different route or method of administration;  a different posology. Guideline on good pharmacovigilance practices (GVP) – Module VI (Rev 2) EMA/873138/2011 Rev 2 Track-change version following public consultation (not to be quoted as final) Page 48/225 With regard to the management of individual reports referring to the off-label use of a product, the responsibilities of th",EMA Guideline on Pharmacovigilance,0.9167,OK,True,"Compliance Report:

1. This case is suspicious due to a high volume of Empagliflozin prescriptions by a Physician Assistant, potentially indicating off-label use.
2. The specific fraud pattern detected is off-label prescribing.
3. The regulatory violation is related to the use of a product outside its authorized indication, posology, or route of administration, as per EMA Guideline on Pharmacovigilance.
4. Recommended action: The compliance officer should investigate the prescriber's rationale for the high volume of Empagliflozin prescriptions and verify if they align with approved indications, to determine if further action is required to prevent potential harm to patients and ensure regulatory compliance."
1245236512,PA,Cardiology,Eliquis,Apixaban,171,128797.47,33.0,6945,0,legitimate,3902.953636363636,753.2015789473684,40.6140350877193,0.1929824561403508,-0.0231864173083799,1,suspicious prescription pattern Apixaban,medicine was tested and found within the specifications of the marketing authorisation.  Batch and lot tested and found not within specifications This is to indicate that a batch or lot of a medicine was tested and was found outside the specifications of the marketing authorisation. b. Falsified medicinal products Where a report of suspected adverse reactions is associated with a suspected or con,EMA Guideline on Pharmacovigilance,1.1804,BLOCKED,False,"⚠️ ANOMALY MATHEMATICALLY DETECTED — NO REGULATORY MATCH FOUND — MANUAL REVIEW REQUIRED. The anomaly detection model flagged this prescriber, but no sufficiently relevant regulatory reference was found in the knowledge base (FAISS distance > threshold). A compliance officer must review this case independently without AI guidance."
1467179689,FL,Physician Assistant,Meloxicam,Meloxicam,327,1312.94,205.0,9305,0,legitimate,6.4045853658536585,4.015107033639144,28.45565749235474,0.6269113149847095,-0.0265256355281863,1,suspicious prescription pattern Meloxicam,medicine was tested and found within the specifications of the marketing authorisation.  Batch and lot tested and found not within specifications This is to indicate that a batch or lot of a medicine was tested and was found outside the specifications of the marketing authorisation. b. Falsified medicinal products Where a report of suspected adverse reactions is associated with a suspected or con,EMA Guideline on Pharmacovigilance,1.2516,BLOCKED,False,"⚠️ ANOMALY MATHEMATICALLY DETECTED — NO REGULATORY MATCH FOUND — MANUAL REVIEW REQUIRED. The anomaly detection model flagged this prescriber, but no sufficiently relevant regulatory reference was found in the knowledge base (FAISS distance > threshold). A compliance officer must review this case independently without AI guidance."
1528390598,OH,Family Practice,Eliquis,Apixaban,147,130949.31,34.0,6639,0,legitimate,3851.450294117647,890.8116326530612,45.16326530612245,0.2312925170068027,-0.0121826358884687,1,suspicious prescription pattern Apixaban,medicine was tested and found within the specifications of the marketing authorisation.  Batch and lot tested and found not within specifications This is to indicate that a batch or lot of a medicine was tested and was found outside the specifications of the marketing authorisation. b. Falsified medicinal products Where a report of suspected adverse reactions is associated with a suspected or con,EMA Guideline on Pharmacovigilance,1.1804,BLOCKED,False,"⚠️ ANOMALY MATHEMATICALLY DETECTED — NO REGULATORY MATCH FOUND — MANUAL REVIEW REQUIRED. The anomaly detection model flagged this prescriber, but no sufficiently relevant regulatory reference was found in the knowledge base (FAISS distance > threshold). A compliance officer must review this case independently without AI guidance."
1720068596,OR,Internal Medicine,Rosuvastatin Calcium,Rosuvastatin Calcium,424,13585.97,214.0,58922,1,off_label,63.485841121495326,32.0423820754717,138.96698113207546,0.5047169811320755,-0.1520289797816165,1,off-label prescription Rosuvastatin Calcium Internal Medicine reporting requirements,"143 use in the FDA-required labeling of an approved/cleared medical product (as that term is 144 defined in this guidance). 145 146 • The term FDA-required labeling includes, but is not necessarily limited to, the labeling 147 reviewed and approved by FDA as part of the medical product premarket review process. 148 FDA-required labeling includes, for example: 149 150 - for a prescription human dru",FDA Guidance on Off-Label Use,0.9853,OK,True,"Compliance Report:

1. This case is suspicious due to a high volume of Rosuvastatin Calcium prescriptions with a potential off-label use anomaly.
2. The specific fraud pattern detected is off-label use.
3. The regulatory violation is the use of Rosuvastatin Calcium outside of its FDA-required labeling.
4. Recommended action: Investigate prescriber practices and patient records to determine if the off-label use is medically necessary and properly documented, and take corrective action if necessary to prevent potential harm and ensure compliance with FDA regulations."
1215505615,AR,Nurse Practitioner,Prednisone,Prednisone,33,2309249.246559876,15.0,94,1,cost_fraud,153949.9497706584,69977.24989575382,2.8484848484848486,0.4545454545454545,-0.1995317246845503,1,abnormal reimbursement cost fraud pharmaceutical Prednisone,"potential, emerging, and active investigations. Health fraud products that pose a direct health hazard to the user are the agency’s highest health fraud enforcement priority. For the purposes of this compliance program, a product presents a direct health hazard if the drug is likely to cause death, injury, or other serious adverse effect when used as labeled or in a customary manner. [See Complian",FDA Compliance Program on Drug Fraud,1.067,BLOCKED,False,"⚠️ ANOMALY MATHEMATICALLY DETECTED — NO REGULATORY MATCH FOUND — MANUAL REVIEW REQUIRED. The anomaly detection model flagged this prescriber, but no sufficiently relevant regulatory reference was found in the knowledge base (FAISS distance > threshold). A compliance officer must review this case independently without AI guidance."
1720298375,AL,Family Practice,Eliquis,Apixaban,96,94339.61,20.0,4838,0,legitimate,4716.9805,982.7042708333332,50.395833333333336,0.2083333333333333,-0.0029891360923113,1,suspicious prescription pattern Apixaban,medicine was tested and found within the specifications of the marketing authorisation.  Batch and lot tested and found not within specifications This is to indicate that a batch or lot of a medicine was tested and was found outside the specifications of the marketing authorisation. b. Falsified medicinal products Where a report of suspected adverse reactions is associated with a suspected or con,EMA Guideline on Pharmacovigilance,1.1804,BLOCKED,False,"⚠️ ANOMALY MATHEMATICALLY DETECTED — NO REGULATORY MATCH FOUND — MANUAL REVIEW REQUIRED. The anomaly detection model flagged this prescriber, but no sufficiently relevant regulatory reference was found in the knowledge base (FAISS distance > threshold). A compliance officer must review this case independently without AI guidance."
1750687117,GA,Internal Medicine,Metoprolol Tartrate,Metoprolol Tartrate,8796,181.42,3683.0,3600,1,volume_fraud,0.0492587564485473,0.0206252842201,0.4092769440654843,0.4187130513869941,-0.1588144255477683,1,abnormal high prescription volume reporting requirements Metoprolol Tartrate,"For off-label, misuse, abuse and medication error, the definitions provided in VI.A.1.2. should be followed. Guideline on good pharmacovigilance practices (GVP) – Module VI (Rev 2) EMA/873138/2011 Rev 2 Track-change version following public consultation (not to be quoted as final) Page 65/225 Reference E2B(R2)/(R3) requirements Values dDefinitions for data element G.k.10.r ‘Additional Information ",EMA Guideline on Pharmacovigilance,1.1028,BLOCKED,False,"⚠️ ANOMALY MATHEMATICALLY DETECTED — NO REGULATORY MATCH FOUND — MANUAL REVIEW REQUIRED. The anomaly detection model flagged this prescriber, but no sufficiently relevant regulatory reference was found in the knowledge base (FAISS distance > threshold). A compliance officer must review this case independently without AI guidance."
1841407954,TN,Dentist,Amoxicillin,Amoxicillin,10,1870427.737511712,43.0,403,1,cost_fraud,43498.31947701656,187042.7737511712,40.3,4.3,-0.2507716004290983,1,abnormal reimbursement cost fraud pharmaceutical Amoxicillin,"potential, emerging, and active investigations. Health fraud products that pose a direct health hazard to the user are the agency’s highest health fraud enforcement priority. For the purposes of this compliance program, a product presents a direct health hazard if the drug is likely to cause death, injury, or other serious adverse effect when used as labeled or in a customary manner. [See Complian",FDA Compliance Program on Drug Fraud,1.0525,BLOCKED,False,"⚠️ ANOMALY MATHEMATICALLY DETECTED — NO REGULATORY MATCH FOUND — MANUAL REVIEW REQUIRED. The anomaly detection model flagged this prescriber, but no sufficiently relevant regulatory reference was found in the knowledge base (FAISS distance > threshold). A compliance officer must review this case independently without AI guidance."
